Roll Angle of Motion Sensor,Pitch Angle of Motion Sensor,Yaw Angle of Motion Sensor,Velocity in Bow Direction of Motion Sensor,Roll Velocity of Motion Sensor,Pitch Velocity of Motion Sensor,Salinity,Temperature,Depth,Velocity,Thrust in X-axis,Thrust in Y-axis,Thrust in Z-axis,Moment about X-axis,Moment about Y-axis,Moment about Z-axis,Oxygen Concentration,Carbon Dioxide Concentration,Cabin Pressure,Cabin Temperature,Cabin Humidity,Emergency Hydraulic Source Pressure,Backup 2,Backup 3,Label
0.015289922,0.02830155,0.011019896,-0.013026517,0.012694609,0.015165509,0.003426609,-0.016014478,0.002711568,-0.016676221,0.001231258,0.032186568,-0.00747157,-0.01414772,-0.01951438,-0.009757712,-0.002686697,0.017414075,0.019514744,0.029581989,0.00219974,-0.007490079,0.014812257,-0.003633215,2
0.048198564,0.016129627,0.027820576,0.012136522,0.012773242,0.0132105,0.010804416,-0.035706242,-0.015676356,-0.019971767,-0.031219355,-0.024860317,0.000650401,-0.016840591,0.022277148,0.068222426,-0.000431017,-0.005201795,-0.015429413,-0.013818484,0.002849284,-0.008431442,0.004565464,0.000105288,2
0.001447341,0.01104571,0.004954219,0.030499571,0.002728129,0.027201216,0.009258031,-0.009860407,0.020178476,0.031047754,-0.022440681,0.012266135,-0.03498395,0.00157497,0.028705111,-0.013676347,-0.001085284,-0.002162552,0.006480473,-0.015563998,-0.009133742,-0.008289599,-0.022951694,0.020808586,2
0.00632768,0.010103376,-0.03058129,0.025934281,0.021740899,0.020315761,-0.020057188,0.017513206,0.034378813,-0.027717934,0.011880273,0.014683451,0.018692048,0.024479656,0.020965444,-0.023751457,-5.75E-05,0.012771855,0.016337237,0.020732085,-0.024590959,-0.010827565,0.006132338,-0.010346657,2
0.020405848,0.008353049,0.011783057,-0.019023492,0.008141945,-0.017112902,0.025651298,0.000461003,0.027504306,-0.028934526,-0.008247196,-0.020678417,-0.008368523,-0.005284293,0.000281039,-0.000722665,0.013464956,-0.007888959,-0.012026208,-0.010308718,0.03500111,0.014874086,0.002646696,-0.021709167,2
0.00854813,0.034623278,0.004844522,0.011895742,-0.0016316,-0.024925915,-0.000680708,0.014499815,-0.041729865,-0.019041755,0.001091255,0.017202539,-0.017196304,0.015658912,-0.004843418,0.018748494,0.021337759,0.03943516,-0.002729809,0.018202506,0.011378207,0.008382576,0.040006997,-0.040261249,2
-0.008574737,-0.012090195,0.001793123,0.002546704,-0.007044595,0.024744312,-0.037365776,0.000508256,0.011164426,0.029032402,0.036631901,-0.012951376,0.020114012,0.029768208,0.00959332,0.021498874,0.003609665,0.034997786,-0.017840669,0.005119175,0.028254521,-0.049261465,0.013991608,-0.023169628,2
0.005588028,0.025149814,0.0018933,0.008001767,0.00659783,-0.018093472,-0.002365268,0.011438829,0.0243647,-0.005967414,0.003965969,0.013928412,0.019416549,-0.039523393,-0.003000849,0.007710261,0.010281579,0.00129984,0.009086555,0.038893623,0.148936578,-0.038794179,-0.017037795,0.035623686,2
-0.011349748,-0.016421144,0.000205301,0.009455513,-0.006126291,-0.005802577,-0.001430559,-0.00962384,0.043177593,-0.020886089,-0.01699194,-0.009334192,-0.030068796,-0.029099101,-0.009346916,-0.009709836,0.009997912,-0.011387928,1.947528201,0.544548344,1.216404932,0.024832839,0.010409787,0.014713661,2
0.016427117,-0.043656733,-0.026748407,0.012085076,-0.000930161,-0.00451255,0.044795351,0.025528526,-0.003168901,0.003705464,0.016009153,0.000751757,-0.005620906,0.00797206,-0.023046109,-0.024630585,0.029339476,0.026075525,3.997485502,0.988357008,2.221422918,-0.017475893,-0.015077239,0.046531142,2
-0.054469484,-0.002326382,0.007812575,0.027471523,-0.020176578,-0.044049303,0.012240363,0.00125162,-0.026564034,-0.051179074,0.009040807,0.000879274,0.000413825,-0.033661473,-0.001695997,-0.03532743,0.012447265,0.045963586,5.991607391,1.502021267,3.19915852,0.003709455,0.024062215,-0.024379902,2
-0.0041638,0.022817231,-0.029053325,0.009694911,-0.027005332,0.016392184,0.011959674,0.025646627,0.006549008,0.039705183,0.045362865,-0.047690815,-0.017037527,-0.005773787,0.017081143,-0.008159202,0.00581519,-0.013907508,7.989242651,2.014734668,4.214744024,0.011097503,-0.004720307,0.035899347,2
-0.010272337,-0.01851193,0.001701383,-0.015673915,-0.002900891,0.002903685,-0.003489489,0.003198429,-0.010009858,0.02653919,0.019062913,-0.019930199,0.003194737,0.008225528,-0.025214639,-0.028087848,0.018743214,-0.051422897,9.574837764,2.381806141,5.014712089,0.008773716,-0.02120054,-0.000184238,2
0.011307865,0.008858293,0.031322894,0.012126122,0.009683203,-0.005034569,0.003426141,-0.023601797,0.001275312,-0.007411234,-0.022075731,0.031291355,0.007606623,0.022898104,-0.00867933,-0.037114302,-0.013426226,-0.020115621,11.57538404,2.878588211,5.995307763,-0.004334053,-0.002470494,-0.010123714,2
-0.01192306,0.023546455,-0.001964105,0.028974597,-0.017692518,0.031900107,0.149467892,28.2362572,1.598009142,1505.767287,-0.009952114,0.008261487,-4.43E-05,0.023616713,0.003307473,0.024072905,-0.010402794,0.015763971,13.59489871,3.412217432,6.987682916,0.026666692,0.033904372,0.01942727,2
-0.011179788,-0.019808003,0.017195008,-0.030221639,0.002002951,0.022810031,0.266880765,28.23023232,1.492160478,1506.23445,0.002722908,0.010020336,0.053553631,0.004784335,0.015853039,0.014744509,-0.017685777,0.033084824,15.61266927,3.870788235,8.000014814,-0.053385787,0.030531025,0.020124673,2
0.013255248,0.018495829,-0.009747897,0.011324098,-0.016141799,-0.027357118,0.347618359,28.26877849,1.725519022,1506.672754,-0.009808162,-0.027299648,-0.020397875,0.028460031,-0.024295671,-0.003712849,0.0021318,0.001938389,17.59582131,4.406810861,8.994259547,0.018506006,0.029762558,0.045640759,2
0.02813961,0.037288055,0.00398971,0.007376487,-0.016510264,0.002269323,0.19783357,28.21903496,1.572972677,1506.015621,0.012298405,0.004127034,-0.003477389,0.004728672,-0.004789057,0.016623322,-0.007812654,0.013214082,19.57673503,4.878575679,9.971708731,0.005988941,-0.041926133,-0.024687826,2
-0.041791074,0.026457364,-0.000163139,-0.010130943,0.018201803,0.00950723,0.174156571,28.2174337,1.535523708,1505.813861,-0.009555635,0.016377486,0.014300414,0.018764349,0.001697627,-0.000945833,-0.026862507,-0.004122994,21.62498424,5.384677336,11.01027151,0.001441041,0.024019928,0.0120755,2
-0.017838547,0.019799435,-0.021326855,0.01535423,-0.00288318,-0.004074868,0.161494924,28.21514507,1.481052146,1505.873875,-0.011207582,-0.015901869,-0.052253914,-0.001982993,0.019671541,-0.016564422,0.000290143,0.011474022,23.56913529,5.887215897,11.97524651,0.015291439,0.00656593,-0.009419601,2
0.04390418,-0.069439369,360.0247046,40.67228631,0.030349232,-40.67362706,0.144079353,28.24387644,1.672772352,1505.76776,-0.025166022,-0.013122185,-0.024552482,0.0111989,0.009244108,-0.021517175,0.027088231,0.012005658,25.60138911,6.397441282,12.99249527,-0.041437803,-0.003231563,-0.00925913,2
0.271269401,-0.391815868,359.9632473,0.004252194,0.008189545,0.017656466,0.154202224,28.22926179,1.612205385,1505.786039,-0.003858423,0.008394431,0.020338563,0.027359719,0.043687059,0.041469236,-0.001473175,0.006837353,27.57386195,6.920868648,14.00997663,0.017902249,0.036523592,0.000465575,2
-0.308467762,0.145566881,0.056799802,0.021426222,-0.083197298,0.089212221,0.14759805,28.21301225,1.643547042,1505.77621,0.007936164,-0.004563295,-0.012197664,0.021176365,-0.007260572,0.011854985,0.032885964,0.047703461,29.58816205,7.355444774,14.99618132,0.001907614,0.003351179,-0.001810723,2
-0.090501301,0.135181312,2.726294703,0.204242261,-0.008363895,0.008657083,0.133049579,28.25353342,1.795570664,1505.691562,0.030773361,-0.008374855,0.017369102,-0.011517575,-0.025529251,0.015261916,-0.033227583,0.011652309,31.59304546,7.918357302,15.99843344,0.011780603,-0.000732235,-0.034950324,2
0.09699583,0.378606723,20.06229726,1.495473515,0.01173665,-0.027755031,0.128452634,28.17877799,1.614876,1505.497793,-0.033514082,-0.003680287,-0.009561409,-0.008465774,0.015396815,-0.009413061,-0.021398473,0.024072411,33.57842436,8.411661296,17.04072318,-0.002486757,-0.040111053,-0.02356123,2
0.175435881,0.659927217,168.2498822,12.89338473,0.008588843,0.036865959,0.106642857,28.22897446,1.753765629,1505.515338,0.001270789,-0.007490992,0.001878643,0.00670757,-0.014571639,0.009385055,0.019349367,0.06866662,35.62581483,8.932660469,18.0120988,-0.022946471,0.029053437,0.048633005,2
-0.053231309,0.849625319,176.4960805,0.71043084,0.017049891,0.013921521,0.133594051,28.25575507,1.710547269,1505.529543,-0.004845829,-0.002047384,-0.009092473,-0.017305314,0.0056068,-0.025963031,0.01036849,0.028070558,37.57364989,9.419556553,19.01993654,0.005542633,0.004746015,0.015221544,2
-0.490600667,0.824905413,183.3767729,0.614868521,0.019006816,-0.014364753,0.113125431,28.2264431,1.48789354,1505.719601,0.001572409,0.023366023,-0.020587433,-0.026619498,0.012876259,0.013320551,0.001458693,0.018793575,39.6090037,9.894139042,20.00633072,-0.019693765,-0.002046999,0.009262056,2
-0.831611571,0.706422504,201.6041865,1.602984319,0.007706333,0.019050332,0.160811835,28.22589942,1.884346804,1505.898598,0.022894587,-0.023669265,0.005913429,0.030232967,0.009340665,-0.014090327,-0.04014741,0.01111097,41.57980244,10.4114851,20.95134133,0.004385557,0.011212886,-0.027302008,2
-1.042602523,0.550425329,233.87304,-0.032755942,0.009456066,0.041858433,0.237145893,28.24768009,1.85761521,1506.225532,-0.010010107,-0.011769846,0.028567277,-0.005025727,-0.00071543,-0.011282642,-0.006939232,-0.007314705,43.64343069,10.88177791,21.97845659,-0.015691303,0.011040154,0.016939283,2
-1.020087337,0.384154082,273.8666168,3.512279734,-0.02068564,0.022035799,0.158951576,28.21699901,1.661915153,1505.970831,0.021054268,0.027336478,-0.003718634,-0.027153362,-0.003662256,0.00336628,0.003401329,0.049960064,45.58679157,11.4149391,23.0101028,0.006472924,0.028692086,-0.017645182,2
-0.748550679,0.301305391,257.7482211,-1.393462181,-0.028360307,0.002290654,0.126397335,28.2060713,1.796554177,1505.822329,-0.000844096,0.026079529,-0.011517983,0.018786521,-0.007330064,-0.017082016,-0.000284463,0.050793403,47.5532468,11.88050894,23.96783475,0.018082893,0.005332106,0.009225542,2
-0.268555908,0.443494907,249.722331,0.011410743,0.05476435,-0.002673037,0.175863309,28.25135853,1.787071409,1505.788116,0.032540175,0.011893716,-0.002767061,0.00071278,0.013077154,-0.001737703,-0.022112007,0.025444803,49.57477707,12.39549495,24.98489103,0.00385331,0.012663078,-0.018677425,2
0.0283257,0.58074255,254.2164655,-0.050602552,0.018560204,-0.010924619,0.112463226,28.19271907,1.761912383,1505.672118,-0.001938498,-0.021723377,-0.003090503,-0.019180972,-0.000489975,0.019900306,0.024618268,0.064094131,51.61894815,12.85417604,25.99082139,0.050334847,0.01852463,-0.017140862,2
0.116589571,0.51411381,212.9606459,0.000695558,0.031846303,-0.000467199,0.128843627,28.23420571,1.759714687,1505.635826,0.030674741,-0.007171056,0.004364041,0.009916916,-0.005776226,0.004285111,-0.002862177,0.010720893,53.59302167,13.39515489,26.99002225,0.014776442,-0.005647313,0.015308278,2
0.099395568,0.369184997,186.4887219,-0.0331452,-0.021547465,0.01030591,0.107223143,28.25250794,1.763843848,1505.591095,-0.035189979,-0.002228162,0.009476945,-0.0108256,0.029969615,-0.004437835,-0.007558885,0.023589245,55.60613037,13.88620746,27.96704575,-0.008556948,0.005531769,0.012392968,2
-0.047222277,0.375086886,183.4997165,-0.010886816,0.000699201,0.015128346,0.153039931,28.2201501,1.760714247,1505.583017,-0.035161739,-0.035752815,-0.035915359,0.02157732,0.01146273,0.012881313,-0.000854068,0.05928807,57.60033958,14.41387499,29.00387894,0.009615695,-0.009986032,0.001352299,2
-0.255596952,0.442252939,183.9040877,0.020495608,-0.023881791,0.021884686,0.137035525,28.22582548,1.736437376,1505.613695,0.015308512,0.028470544,-0.016626907,-0.036103462,0.002460211,0.004105116,0.023197257,0.032307557,59.62307946,14.89876403,30.00770979,-0.002078278,-0.016806868,-0.020890329,2
-0.535715308,0.525801806,182.2410896,-0.000386117,0.05878934,0.019606941,0.107630305,28.22170178,2.007468348,1505.662778,-0.011178576,-0.018190645,-0.01426073,0.011378076,-0.02292535,-0.026940744,-0.021208122,0.004911868,61.60743706,15.38191444,31.00902873,-0.051166487,-0.028909095,0.004995314,2
-0.696216487,0.54637755,170.1357471,0.006457697,0.003712115,0.017116557,0.163121651,28.23978168,1.905201781,1505.768628,-0.009166918,-0.032246961,0.021833573,0.022935424,-0.02418904,-0.010629267,-0.003505266,0.021892265,63.61278131,15.93015684,31.9968168,0.034896373,0.036154753,-0.024593518,2
-0.717844211,0.433253874,145.2778943,0.010659087,0.013821914,-0.039915365,0.193475009,28.22155715,1.908804295,1505.918299,-0.029967417,0.018839656,-0.034963777,-0.035798188,-0.012319181,0.003978409,0.015796727,0.017641411,65.58368647,16.41484726,33.00439083,-0.001879807,-0.004030721,-0.011374395,2
-0.57255123,0.476149121,50.07786494,-0.0299824,0.001762628,0.006570575,0.221709613,28.25291223,1.951539901,1506.012513,0.039087268,0.014320432,-0.004920199,-0.032192686,0.014866718,0.049776078,-0.00847488,0.008282659,67.57287001,16.87787078,34.01609254,0.010708357,-0.001822791,-0.024652763,2
-0.344763681,0.662921187,1.636139747,0.019588117,0.028665833,-0.012112232,0.160780696,28.19535122,1.913369387,1505.828302,-0.015945617,-0.005373998,0.029638622,2.98E-05,-0.021579563,0.010470353,-0.007912679,0.034129784,69.60574308,17.40606569,35.01224112,-0.002933644,0.026352054,0.017413164,2
-0.166197287,0.758486219,351.1089494,0.003029184,-0.001314783,0.029344819,0.156308023,28.21834953,1.861617524,1505.687356,-0.013586175,-0.001809142,8.72E-05,0.009499877,-0.028734278,0.017989408,0.008428422,0.052064297,71.6052434,17.88730752,35.98626636,0.018227175,-0.020826474,0.010506226,2
-0.035946887,0.704643114,339.2727455,0.027703337,-0.006857966,0.019841176,0.125566065,28.25140917,2.030798511,1505.599734,-0.022108512,-0.01195846,-0.027851129,0.005268637,0.000853381,0.00730061,0.000349404,-0.014266846,73.63071277,18.41381121,36.99941173,-0.005757476,-0.006886909,0.027076626,2
0.033524979,0.394770352,217.3979902,-0.038862245,0.008970025,-0.003997249,0.094472049,28.26443109,2.037582949,1505.590858,0.013262193,-0.030595826,0.039773094,-0.008286727,-0.004298423,-0.012314108,-0.014991806,0.032275854,75.61178481,18.88377457,38.02116311,-0.033202507,-0.009058754,0.011903965,2
-0.136518826,0.141529759,185.4639596,-0.017920385,0.029293684,0.00472577,0.133239884,28.23573909,1.991936912,1505.649685,0.002660895,0.011458389,-0.005060689,-0.031809375,0.028075749,-0.039372864,-0.019055589,0.003821343,77.59472315,19.3700563,39.00809302,0.027660893,-0.005771656,0.014038972,2
-0.433804782,0.025670142,176.4486889,0.000341798,-0.035673181,-0.000854469,0.066022172,28.22784833,1.820764803,1505.623625,-0.002341212,0.00653095,-0.011916257,-0.05076376,0.029085356,-0.011072176,0.011358508,0.014713969,79.60429626,19.90702406,40.00321872,-0.00368354,0.032069425,-0.016423054,2
-0.628373362,0.203778474,165.8577486,-0.00221641,0.018903339,0.016689183,0.152885511,28.26235939,1.803208815,1505.788819,0.005358628,-0.004924931,-0.019217926,0.019416935,-0.010432285,-0.014628101,0.029115543,0.017407553,81.57868489,20.41613765,41.01554075,0.003981693,-0.023677766,0.017910161,2
-0.605020883,0.376687696,142.6653024,0.019304807,0.003524414,-0.006998924,0.208500216,28.24819607,1.968765569,1505.874831,0.010317696,0.001051692,0.020390823,-0.000667398,-0.013817686,0.011234297,0.020950779,0.086079019,83.60591123,20.9131122,41.98198733,0.026487078,-0.033213431,-0.007422647,2
-0.547478109,0.54095894,110.0717803,-0.001890292,0.007145755,0.001014813,0.159208568,28.24054589,2.047332583,1505.957351,-0.021677002,0.009098947,0.024233203,0.042585676,-0.023992569,0.012963825,0.014326206,0.012928967,85.60059954,21.42617262,42.98330448,-0.019417707,0.007321897,-0.005954813,2
-0.402569772,0.65488368,73.85110733,-0.044704781,0.021438281,0.000712057,0.182528855,28.24503358,1.876251819,1505.91501,0.011788991,-0.026714588,-0.000108008,0.02088191,-0.006244745,-0.05448752,-0.044678155,0.010004535,87.56822674,21.92783395,44.01615541,0.011352699,-0.054854857,0.03989992,2
-0.20759569,0.815801043,42.72734642,0.002563896,0.019269444,0.009558878,0.129166658,28.25360665,1.7890336,1505.714693,0.001093937,0.029782661,-0.023099066,0.043869123,0.010779281,-0.016168604,0.010152127,0.048502048,89.57244341,22.39501151,45.02276163,0.019832465,-0.06790841,0.023730183,2
-0.023900034,0.809571598,37.31095645,-0.003603417,-0.004022067,0.017221272,0.101406291,28.23953556,1.606141941,1505.614884,0.018218251,0.009340455,-0.022763801,-0.038899592,-0.012213976,-0.00650044,-0.007485641,0.050363539,91.55783525,22.92483996,46.03103094,0.031775183,-0.086586543,0.003360011,2
0.12804152,0.612610369,43.73886593,0.028564448,0.003686776,-0.008355795,0.124613843,28.220478,1.8141304,1505.636922,0.035556547,0.002772287,-0.003738925,0.014660291,-0.040698825,0.007882928,0.004201431,0.027122201,93.59528454,23.37425439,46.98440223,-0.026104796,-0.05120819,-0.050054154,2
0.128107955,0.399510829,35.02468122,-0.028350808,-0.015159206,0.015375778,0.115209034,28.27035894,2.147401743,1505.615918,0.013317414,-0.019564113,0.007858789,0.051659532,-0.023930753,-0.038748884,0.020300767,0.044496162,95.60317429,23.84939215,47.99806855,-0.020761497,-0.042227935,0.005768308,2
-0.001336458,0.297180053,32.15152649,0.003947418,-0.025593739,0.005717418,0.089888922,28.2503029,1.859099968,1505.548701,-0.012715088,-0.007252238,-0.00335323,-0.006818896,-0.020957664,0.020794709,0.000161046,0.034993973,97.57109976,24.38572234,49.03244555,-0.022930935,-0.093806277,0.023505554,2
-0.227059011,0.362070132,44.8739421,0.007388664,0.032794326,-0.015900653,0.11775881,28.20862024,1.798946417,1505.562317,-0.03023378,0.03447169,-0.01544917,0.007888613,-0.006380442,-0.012491352,-0.045151978,0.029280466,99.22359168,24.82314085,49.7875988,0.010555051,-0.049331773,0.042695811,2
-0.58522643,0.458299323,75.82544918,-0.009091071,0.006126327,0.001681391,0.132456042,28.25252412,2.030854553,1505.552941,0.022592048,-0.029928258,0.030138629,0.003408306,0.004414071,-0.024662636,0.279073045,0.031034285,101.1672885,25.31182306,50.59838395,-0.032332037,-0.048477201,-0.014195448,2
-0.933754866,0.376853034,114.9475992,0.027031986,-0.027839658,-0.01572099,0.125440342,28.25938347,1.881175886,1505.626971,-0.01280398,0.014194049,0.000790005,-0.010503712,0.004824846,-0.047582895,0.806892758,0.042742155,101.7055121,25.81616869,50.66787135,-0.057735464,-0.03833775,0.058022619,2
-1.091091722,0.420876613,120.3685133,-0.016630356,0.016505529,0.018855912,0.142918074,28.23236517,1.89672121,1505.767699,0.008673973,0.003085604,0.003804047,0.025816508,-0.030334104,0.017841848,1.296575967,0.05527305,101.7616611,26.33809824,50.67142068,-0.003440954,-0.048037233,0.015623626,2
-1.079634778,0.456014915,120.6176076,-0.003952049,0.032214212,-0.005752481,0.219888606,28.27170868,2.06257029,1506.043522,0.001873815,-0.004053533,-0.014182325,-0.009069194,0.006700619,-0.002916491,1.786597293,0.018652408,101.7917327,26.79794723,50.70901627,0.01286748,-0.033280133,0.019161744,2
-0.759417794,0.610745144,104.0515955,-0.019724659,0.010275204,-0.005883531,0.282628334,28.26277437,1.885743687,1506.583787,-0.010275517,0.009940474,0.021431614,0.003846437,0.020935181,0.005021616,2.282479486,0.038323068,101.9135485,27.32678919,50.69822823,0.041681968,-0.064717525,0.003143094,2
-0.178328398,0.556390153,60.26350364,0.018790937,0.01453804,-0.0214205,0.17684891,28.272027,2.096982728,1506.15849,0.037287553,-0.045647714,-0.010711557,0.000189554,0.001738049,-0.007110983,2.807548853,0.021458656,101.909179,27.79998826,50.73721412,-0.016495528,-0.07663041,0.004154301,2
0.493364484,0.464170008,39.56086838,0.037824091,0.016987818,-0.026754013,0.133637886,28.246824,1.823431947,1505.800061,0.05017135,0.006316005,-0.016345634,0.013293348,0.001073194,-0.02657866,3.272237668,0.012284655,101.8965339,28.18848891,50.76242417,-0.029784838,-0.00399287,-0.00272815,2
0.820789225,0.431555872,32.89351942,-0.032872851,0.003511611,-0.042663292,0.123053423,28.24470755,1.819612491,1505.665312,-0.044433872,0.001839152,-0.000143167,0.002251048,0.006351556,0.001313343,3.79726781,0.013470918,101.8890022,28.30385882,50.32244316,-0.00784615,-0.075850223,-0.014377446,2
0.815176153,0.60878952,34.75964819,-0.013730225,-0.006524608,0.013251737,0.111321533,28.24385188,1.883766533,1505.652811,-0.017866089,0.028109466,-0.004908016,-0.021329236,0.009341625,-0.00353725,4.327334802,0.007533144,101.8875547,28.29937115,50.35246892,0.01764056,-0.05918305,0.037290211,2
0.395644687,0.794907019,52.57711242,-0.012570607,-0.016620977,0.006534633,0.14571439,28.27722262,2.39983578,1505.715241,0.014054396,-0.006870964,0.021257053,0.019137772,-0.013618383,-0.011153266,4.767108936,0.040417759,101.9174552,28.33874404,50.30928545,-0.004631849,-0.047592272,0.020601575,2
-0.30851355,0.693894961,77.72162697,-0.018189232,-1.98E-05,0.014551096,0.168336426,28.22089253,2.015629346,1505.773559,-0.028628717,0.002742146,0.001650648,0.007080473,-0.010869631,0.016047812,5.30727553,0.0180937,101.935182,28.37788403,50.30863007,0.006721526,-0.102492575,0.013991986,2
-0.931461119,0.458779783,94.92865992,-0.020015463,-0.025184231,0.002727778,0.16940903,28.26032427,2.162574647,1506.023881,-0.005255991,-0.006358166,-0.051698975,-0.02324506,-0.002967882,-0.01143441,5.779421369,0.026452718,101.8850139,28.37781346,50.28840435,-0.024862756,-0.072695818,-0.019528857,2
-1.413029663,0.220061108,101.7737648,0.007792564,-0.009869492,0.007859191,0.230735888,28.23105236,2.183805996,1506.255657,-0.010974012,0.019289331,0.014724257,0.054099163,0.010538412,-0.01189199,6.302518078,0.057581976,101.9073253,28.35664228,49.98708702,-0.000461874,-0.043565501,0.005130228,2
-1.579072924,0.156150364,89.27266006,0.00151069,0.008219177,-0.012387135,0.383823273,28.2610541,1.968016015,1507.032976,0.052912454,-0.002005691,-0.020968186,0.012139394,-0.012559288,0.00749512,6.76963047,0.044083397,101.8753907,28.35444459,49.59426021,0.010984523,-0.098311667,0.03361508,2
-1.249013462,0.264780598,70.22965712,0.034796979,0.02058947,-0.0202534,1.592966685,28.25207786,2.060858558,1514.39474,-0.040726349,-0.007271075,0.034509382,0.016506929,0.015602845,-0.010490564,7.319239552,0.025687403,101.9097,28.35793168,49.35009739,-0.005721553,-0.05073941,0.022687795,2
-0.515127013,0.551939428,48.73314164,-0.035071477,-0.00757975,0.012146043,1.393127312,28.24178459,2.073397362,1513.081785,-0.011812342,0.008700625,0.005969582,0.018158977,0.039671847,-0.020963932,7.788311126,0.040670119,101.9097205,28.38934361,49.29241,0.02171145,-0.06498128,0.041375642,2
0.250667964,0.780160375,36.61109661,-0.00485316,0.020099558,0.002504467,0.257509021,28.23853958,2.408653331,1506.281957,0.015069804,0.031410517,-0.004241939,0.018582526,0.007409235,0.002054341,8.303119343,0.043231646,101.9207326,28.37052031,49.22877644,0.030054316,-0.047133321,0.03688142,2
0.690364818,0.736579645,38.64541246,-0.004544484,0.01664556,-0.000873972,0.178696898,28.22749775,2.376767402,1505.8442,0.024443309,0.004554226,-0.00098081,0.045735541,-0.034407562,0.01399945,8.801779482,0.048364784,101.8501291,28.37159297,49.23998992,0.001269327,-0.094440902,-0.022016439,2
0.733485906,0.499478069,53.18939677,0.029025956,0.02489627,-0.004134978,0.131049127,28.21712392,1.757611957,1505.786749,-0.024661023,-0.014020034,0.035139888,0.029537404,-0.009072836,0.029818055,9.31942538,0.02106093,101.923742,28.35297823,49.21116714,-0.005247225,-0.021581506,0.006859253,2
